x,y,value
2017-01-13,TOLIMA,10
2017-01-13,VALLE,36
2017-01-13,VICHADA,1
2017-01-14,ANTIOQUIA,40
2017-01-14,ATLANTICO,15
2017-01-14,BOLIVAR,1
2017-01-14,BOYACA,5
2017-01-14,CALDAS,2
2017-01-14,CAQUETA,2
2017-01-14,CASANARE,3
2017-01-14,CAUCA,3
2017-01-14,CESAR,12
2017-01-14,CHOCO,1
2017-01-14,CORDOBA,1
2017-01-14,CUNDINAMARCA,59
2017-01-14,GUAJIRA,4
2017-01-14,HUILA,4
2017-01-14,MAGDALENA,11
2017-01-14,META,5
2017-01-14,NARINO,10
2017-01-14,NORTE DE SANTANDER,5
2017-01-14,PUTUMAYO,1
2017-01-14,QUINDIO,5
2017-01-14,RISARALDA,10
2017-01-14,SANTANDER,18
2017-01-14,SUCRE,6
2017-01-14,TOLIMA,26
2017-01-14,VALLE,21
2017-01-15,ANTIOQUIA,27
2017-01-15,ATLANTICO,9
2017-01-15,BOLIVAR,1
2017-01-15,BOYACA,3
2017-01-15,CALDAS,2
2017-01-15,CAQUETA,2
2017-01-15,CASANARE,2
2017-01-15,CAUCA,5
2017-01-15,CESAR,12
2017-01-15,CORDOBA,4
2017-01-15,CUNDINAMARCA,37
2017-01-15,GUAJIRA,2
2017-01-15,HUILA,3
2017-01-15,MAGDALENA,9
2017-01-15,META,5
2017-01-15,NARINO,11
2017-01-15,NORTE DE SANTANDER,2
2017-01-15,QUINDIO,7
2017-01-15,RISARALDA,5
2017-01-15,SANTANDER,11
2017-01-15,SUCRE,1
2017-01-15,TOLIMA,10
2017-01-15,VALLE,21
2017-01-15,VAUPES,1
2017-01-16,ANTIOQUIA,33
2017-01-16,ATLANTICO,5
2017-01-16,BOLIVAR,3
2017-01-16,CALDAS,1
2017-01-16,CAQUETA,1
2017-01-16,CASANARE,1
2017-01-16,CAUCA,9
2017-01-16,CESAR,5
2017-01-16,CORDOBA,10
2017-01-16,CUNDINAMARCA,111
2017-01-16,GUAJIRA,10
2017-01-16,HUILA,5
2017-01-16,MAGDALENA,6
2017-01-16,META,12
2017-01-16,NARINO,9
2017-01-16,NORTE DE SANTANDER,5
2017-01-16,PUTUMAYO,1
2017-01-16,QUINDIO,5
2017-01-16,RISARALDA,1
2017-01-16,SANTANDER,11
2017-01-16,SUCRE,9
2017-01-16,TOLIMA,13
2017-01-16,VALLE,39
2017-01-17,ANTIOQUIA,35
2017-01-17,ATLANTICO,10
2017-01-17,BOLIVAR,2
